post_id,post_url,published_date,reactions,sub_reactions,comments,shares,context
5153839947996311,https://www.facebook.com/init.kobeengineer/posts/5153839947996311,2022-06-07 04:03:38,85,"{'讚': '61', '哈': '23', '嗚': '1', '怒': '0', '大心': '0', '加油': '0', '哇': '0'}",13,3,"#純靠北工程師64r
----------
我終於知道大家不敢寫單元測試，更別說 TDD, BDD 的原因了。

不寫單元測試，就可以自我感覺良好，覺得自己的介面好棒棒。如果別人沒找到秘密參數、特殊觸發條件，那就是別人的錯。

而且就算真的是什麼大型 bug，也可以偷偷改程式、更新，反正抓不到 ~ 特別是版控當備份在用的 ... 然後再說你不 ok，沒有來看我的程式碼 (?)"
5153622948018011,https://www.facebook.com/init.kobeengineer/posts/5153622948018011,2022-06-07 02:01:40,55,"{'讚': '43', '加油': '6', '哇': '4', '嗚': '2', '哈': '0', '怒': '0', '大心': '0'}",22,0,"#純靠北工程師64p
----------
不知道是螢幕看太久還是老了
現在動不動就眼睛痠痛
就算熱敷過陣子還是又酸又澀
先靠北自己沒照顧好眼睛
誠心發問各位大大都怎麼保養眼睛的？"
5151583698221936,https://www.facebook.com/init.kobeengineer/posts/5151583698221936,2022-06-06 08:37:16,60,"{'讚': '38', '哈': '22', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",11,0,"#純靠北工程師64o
----------
是不是走資訊這條路沒背景與血統走不下去？主管老是把沒背景不行掛嘴邊，說得一嘴的敏捷開發，部門卻從來沒真正實施過，還把別產業都當躺著賺，地圖炮罵了一輪。"
5151481431565496,https://www.facebook.com/init.kobeengineer/posts/5151481431565496,2022-06-06 07:39:42,121,"{'讚': '119', '大心': '1', '哇': '1', '哈': '0', '怒': '0', '加油': '0', '嗚': '0'}",8,0,經營 Facebook 粉絲專頁ㄉ一些 Log 紀錄，分享給大家。
5151381074908865,https://www.facebook.com/init.kobeengineer/posts/5151381074908865,2022-06-06 06:42:20,79,"{'讚': '49', '哈': '30', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",12,0,"#純靠北工程師64l
----------
我好想申請一個域名：

軟體開發黑洞.tw

然後把 AAA 和 MX record 都指向公司的主機喔。

但是這樣也不對，因為其他公司也有需求怎麼辦？"
5151284218251884,https://www.facebook.com/init.kobeengineer/posts/5151284218251884,2022-06-06 05:46:38,448,"{'讚': '233', '哈': '211', '哇': '2', '大心': '1', '嗚': '1', '怒': '0', '加油': '0'}",29,24,"#純靠北工程師64c
----------
徵求一些圖片可以快速形容給客戶知道為什麼伺服器連不上的原因。

最便宜的伺服器:"
5151151944931778,https://www.facebook.com/init.kobeengineer/posts/5151151944931778,2022-06-06 04:32:24,64,"{'讚': '46', '哈': '16', '哇': '2', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",18,0,"#純靠北工程師64k
----------
小弟在一家外商當IT，前同事去一家行銷公司當秘書，請我去兼差當顧問，一個月6000，現在當了三個月之後前同事也離職了，那間公司的老闆找我去談說要不要by case，到現場才收錢，老實講我自己也不太想兼職了(兩次忘記給薪水，前一次我提醒之後才給，五月就是第二次)，查了一下網路by case的價格好像都不太準，有沒有個基準點?另外他們公司都用Mac跟Google Workspace有用群輝的NAS。"
5149516365095336,https://www.facebook.com/init.kobeengineer/posts/5149516365095336,2022-06-05 14:19:49,199,"{'讚': '131', '哈': '63', '哇': '5', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",15,3,"#純靠北工程師64j
----------
你各位要找工作的工程師啊，有能將就一下的工作就快點定下來吧！

接下來至少兩年的全球經濟大蕭條，保證不像現在面試時可以趾高氣昂了哦！

就別再要求年薪200萬了，有150萬就好。

也別再要求全遠端了，一周能兩天遠端就好。

更別再要求良好的開發風氣了，能看得懂的程式碼就好。

大蕭條後就會有大反彈，先蹲個兩年後，出來面試又可以像現在一樣囂張了哦！"
5149216711791968,https://www.facebook.com/init.kobeengineer/posts/5149216711791968,2022-06-05 12:08:30,80,"{'讚': '54', '哈': '25', '哇': '1', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",28,1,"#純靠北工程師64i
----------
連假前公司的中年資深工程師，第 n 次寄給我拿來當專題生週報，都會被丟到窗戶外面的東西，然後又跟我說 “好了”。

幸好我的地位沒有和屈原一樣，不然我就直接跳河，讓大家可以再多放一天假了。"
5146301238750182,https://www.facebook.com/init.kobeengineer/posts/5146301238750182,2022-06-04 11:08:19,157,"{'哈': '88', '讚': '69', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",13,5,"#純靠北工程師64h
----------
都開幾次會了還在聚焦
啊扯半天也沒有結論
聚你個焦阿巴
是要燙螞蟻是不是
幹"
5146056538774652,https://www.facebook.com/init.kobeengineer/posts/5146056538774652,2022-06-04 08:56:52,67,"{'讚': '42', '哈': '25', '怒': '0', '大心': '0', '加油': '0', '哇': '0', '嗚': '0'}",5,4,"#純靠北工程師64f
----------
看了 #純靠北工程師648 的文章後，才讓我深深了解到
原來每一次的bug，都是同事之間培養感情的一種方式
對呀...誰會沒事自找麻煩寫出一堆bug呢？原來這就是答案呀...

下班前的bug隕石轟炸，增加了彼此在深夜獨處的時光
開會時的百般阻撓，媲美M視八點檔的一波三折
這一切盡在不言而喻"
5145775435469429,https://www.facebook.com/init.kobeengineer/posts/5145775435469429,2022-06-04 06:20:27,391,"{'讚': '205', '哈': '176', '嗚': '6', '哇': '4', '怒': '0', '大心': '0', '加油': '0'}",31,13,"#純靠北工程師64d
----------
前情提要：#純靠北工程師62n

果然隔壁單位們受不了了，去找老闆兇猛抱怨資訊部這裡整天用力敲鍵盤製造噪音，讓他們無法專心工作。

天地良心！我們只是每一次按鍵都確實按到底，沒有特別用力啊！好啦偶爾會敲一下那塊超大的Enter鍵，只能說經理不愧是資工本科出身的，很懂這顆的重要性，選鍵盤特別去挑大顆版本，還是青軸上的。

經理又被老闆叫去，了解狀況後要求提出改善方案。

現在，資訊部被安排在公司某個角落的夾層裡的小辦公室，附贈一個大概只有4坪的倉庫。從大廳要到資訊部辦公室，一路上要經過2扇門，搭電梯之後再經過3扇門轉2個彎，經過1扇門，爬13階階梯再經過2扇門才能抵達。

好耶。"
5145611458819160,https://www.facebook.com/init.kobeengineer/posts/5145611458819160,2022-06-04 04:49:13,138,"{'讚': '132', '哈': '5', '哇': '1', '怒': '0', '大心': '0', '加油': '0', '嗚': '0'}",76,4,"#純靠北工程師64b
----------
小弟是資訊業新米
最近被交代接手前輩的code
請問接手別人的code要注意什麼"
5143640135682959,https://www.facebook.com/init.kobeengineer/posts/5143640135682959,2022-06-03 11:51:56,117,"{'讚': '74', '哈': '42', '嗚': '1', '怒': '0', '大心': '0', '加油': '0', '哇': '0'}",11,2,"#純靠北工程師649
----------
就在剛才
老師找公司的同仁來上課
我看了他一頓操作...這真的是工程師嗎...
然後示範的軟體誰寫的，一堆BUG..."
